WAVELENGTHS,AMPLITUDES_RED_BLUE,LEAF_TOP_SPD,LEAF_TOP_SPT,LEAF_BOTTOM_SPD,LEAF_BOTTOM_SPT,LEAF_BOTTOM_SPD,INTERNODE_SPT,FRUIT_RIPEN_SPD,FRUIT_RIPEN_SPT,FRUIT_UNRIPEN_SPD,FRUIT_UNRIPEN_SPT,TILE_SENSOR_TOP_SPD,TILE_SENSOR_TOP_SPT,TILE_SENSOR_BOTTOM_SPD,TILE_SENSOR_BOTTOM_SPT,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT,,CUBE_SPD,CUBE_SPT,CEILING SPD,CEILING SPT,FLOOR_SPD,FLOOR_SPT,WALL_SPD,WALL_SPT
725,0,0,0,0,0,0,0,0.331384111,0,0.275289631,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
730,0,0,0,0,0,0,0,0.330106723,0,0.277674818,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
735,0,0,0,0,0,0,0,0.32845607,0,0.281506719,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
740,0,0,0,0,0,0,0,0.326973045,0,0.283315567,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
745,0,0,0,0,0,0,0,0.325133292,0,0.284102818,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
750,0,0,0,0,0,0,0,0.32509464,0,0.283959581,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
755,0,0,0,0,0,0,0,0.324292574,0,0.283169606,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
760,0,0,0,0,0,0,0,0.324148867,0,0.283105131,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
765,0,0,0,0,0,0,0,0.324080081,0,0.281942422,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
770,0,0,0,0,0,0,0,0.323594844,0,0.282110906,0,0,0,0,1,0.56,0,0,0,0.56,0,0.56,0,,,0.7,0,0,0,0.7,0,0.7,0,,0.56,0,0,0,0.56,0,0.56,0
