Step,Time,X_Pos_m,Deflection_mm,Force_N
577,7.5100,0.000000,0.0000,0.104014
578,7.5227,0.000000,0.0000,0.104014
579,7.5352,0.000000,0.0000,0.104014
580,7.5479,0.000000,0.0000,0.104014
581,7.5603,0.000000,0.0000,0.104014
582,7.5727,0.000000,0.0000,0.104014
583,7.5849,0.000000,0.0000,0.104014
584,7.5968,0.000000,0.0000,0.104014
585,7.6095,0.000000,0.0000,0.104014
586,7.6216,0.000000,0.0000,0.104014
587,7.6342,0.000000,0.0000,0.104014
588,7.6467,0.000000,0.0000,0.104014
589,7.6599,0.000000,0.0000,0.104014
590,7.6721,0.000000,0.0000,0.104014
591,7.6846,0.000000,0.0000,0.104014
592,7.7138,0.000000,0.0000,0.104014
593,7.7261,0.000000,0.0000,0.104014
594,7.7385,0.000000,0.0000,0.104014
595,7.7521,0.000000,0.0000,0.104014
596,7.7650,0.000000,0.0000,0.104014
597,7.7770,0.000000,0.0000,0.104014
598,7.7893,0.000000,0.0000,0.104014
599,7.8022,0.000000,0.0000,0.104014
600,7.8149,0.000000,0.0000,0.104014
601,7.8269,0.000000,0.0000,0.104014
602,7.8392,0.000000,0.0000,0.104014
603,7.8533,0.000000,0.0000,0.104014
604,7.8659,0.000000,0.0000,0.104014
605,7.8783,0.000000,0.0000,0.104014
606,7.8997,0.000000,0.0000,0.094291
607,7.9131,0.000000,0.0000,0.094291
608,7.9263,0.000000,0.0000,0.094291
609,7.9399,-0.000000,0.0000,0.094291
610,7.9658,-0.000001,0.0005,0.094308
611,7.9796,-0.000002,0.0017,0.094308
612,7.9933,-0.000012,0.0118,0.094423
613,8.0067,-0.000031,0.0308,0.094455
614,8.0212,-0.000058,0.0576,0.094504
615,8.0354,-0.000089,0.0890,0.094504
616,8.0490,-0.000128,0.1279,0.094618
617,8.0629,-0.000173,0.1730,0.094715
618,8.0761,-0.000229,0.2288,0.094761
619,8.0901,-0.000292,0.2918,0.094843
620,8.1038,-0.000359,0.3590,0.094893
621,8.1179,-0.000426,0.4259,0.094960
622,8.1324,-0.000488,0.4875,0.094996
623,8.1456,-0.000541,0.5410,0.095063
624,8.1592,-0.000586,0.5856,0.095127
625,8.1744,-0.000619,0.6191,0.095192
626,8.1881,-0.000641,0.6413,0.095255
627,8.2018,-0.000653,0.6531,0.095284
628,8.2156,-0.000659,0.6585,0.095356
